,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,history_id
0,0,0,0,1001
88,1,0,5,1002
145,1,3,5,1003
155,1,1,5,1004
266,1,0,1,1005
288,1,0,3,1006
302,1,1,0,1007
346,1,0,4,1008
377,1,0,12,1009
392,1,3,19,1010
605,1,1,2,1011
776,1,3,15,1012
800,1,3,17,1013
868,1,0,2,1014
897,1,2,7,1015
1561,1,11,4,1016
1575,1,0,20,1017
1590,1,4,16,1018
1626,1,5,50,1019
1732,1,1,13,1020
1909,1,0,6,1021
1985,1,0,14,1022
2037,1,2,6,1023
2128,1,2,19,1024
2131,1,1,3,1025
2132,1,1,17,1026
2403,1,3,34,1027
2478,1,3,18,1028
2927,1,1,1,1029
3050,1,4,15,1030
3215,1,1,16,1031
3247,1,1,6,1032
3285,1,0,8,1033
3322,1,11,5,1034
3530,1,11,10,1035
3614,1,0,13,1036
4102,1,2,23,1037
4223,1,1,11,1038
4509,1,2,0,1039
4595,1,1,8,1040
4603,1,5,49,1041
4809,1,0,11,1042
4828,1,4,47,1043
4832,1,0,7,1044
4864,1,5,53,1045
4884,1,1,7,1046
4993,1,3,6,1047
4996,1,3,14,1048
5323,1,0,10,1049
6109,1,0,15,1050
6140,1,1,9,1051
6498,1,3,33,1052
6677,1,2,8,1053
6898,1,3,4,1054
7110,1,11,22,1055
7122,1,0,18,1056
7299,1,2,24,1057
7531,1,0,17,1058
7787,1,5,52,1059
8101,1,0,22,1060
8211,1,2,10,1061
8494,1,2,1,1062
8666,1,0,9,1063
9397,1,3,21,1064
9608,1,5,48,1065
10158,1,1,14,1066
10544,1,3,1,1067
10619,1,1,15,1068
11403,1,3,28,1069
11434,1,0,19,1070
11448,1,3,13,1071
11647,1,2,18,1072
11834,1,11,0,1073
11929,1,3,12,1074
12097,1,13,1,1075
12248,1,1,18,1076
12325,1,0,16,1077
12908,1,0,21,1078
13119,1,2,3,1079
13381,1,1,4,1080
13557,1,3,39,1081
13576,1,0,25,1082
14324,1,3,2,1083
14422,1,0,31,1084
14956,1,3,11,1085
14973,1,3,16,1086
15449,1,2,4,1087
15561,1,2,21,1088
15865,1,3,20,1089
16097,1,3,38,1090
16400,1,2,14,1091
16630,1,2,5,1092
16647,1,2,26,1093
16948,1,2,16,1094
17034,1,1,10,1095
17175,1,5,51,1096
17451,1,3,42,1097
17866,1,3,22,1098
18307,1,3,37,1099
18690,1,3,35,1100
18794,1,5,56,1101
18822,1,3,44,1102
18970,1,2,27,1103
19292,1,0,32,1104
19879,1,5,55,1105
20088,1,3,27,1106
20389,1,0,26,1107
20433,1,2,13,1108
21162,1,4,45,1109
21456,1,2,2,1110
21568,1,0,27,1111
21614,1,0,23,1112
21697,1,3,30,1113
21880,1,5,57,1114
22847,1,3,31,1115
22881,1,4,19,1116
24699,1,2,11,1117
24720,1,3,23,1118
24950,1,11,16,1119
25125,1,0,28,1120
25478,1,4,46,1121
25861,1,0,24,1122
26962,1,4,18,1123
27429,1,2,12,1124
27493,1,2,9,1125
27499,1,11,1,1126
27665,1,4,20,1127
27903,1,2,17,1128
28019,1,5,54,1129
28284,1,3,43,1130
28914,1,11,20,1131
29183,1,3,3,1132
29572,1,6,58,1133
29677,1,2,15,1134
30304,1,3,41,1135
30363,1,11,19,1136
31772,1,3,29,1137
31999,1,4,44,1138
32380,1,0,29,1139
32689,1,0,30,1140
32722,1,11,21,1141
32795,1,3,10,1142
32804,1,3,40,1143
33303,1,3,36,1144
34582,1,3,32,1145
35716,1,2,20,1146
35983,1,4,17,1147
