,avg_price_per_room,price_id,booking_details_id
0,65.0,1001,1001
1,65.0,1001,1120
2,65.0,1001,2264
3,65.0,1001,6020
4,106.68,1002,1002
5,60.0,1003,1003
6,60.0,1003,1038
7,60.0,1003,3096
8,60.0,1003,6014
9,60.0,1003,6087
10,100.0,1004,1004
11,100.0,1004,1178
12,100.0,1004,1815
13,100.0,1004,2501
14,94.5,1005,1005
15,94.5,1005,2091
16,94.5,1005,2373
17,94.5,1005,4035
18,115.0,1006,1006
19,115.0,1006,1193
20,115.0,1006,3704
21,107.55,1007,1007
22,107.55,1007,4146
23,105.61,1008,1008
24,105.61,1008,5095
25,96.9,1009,1009
26,96.9,1009,1456
27,96.9,1009,2213
28,133.44,1010,1010
29,85.03,1011,1011
30,85.03,1011,2364
31,140.4,1012,1012
32,140.4,1012,1121
33,140.4,1012,2211
34,88.0,1013,1013
35,88.0,1013,1157
36,88.0,1013,5201
37,88.0,1013,5211
38,90.0,1014,1014
39,90.0,1014,1160
40,90.0,1014,1643
41,90.0,1014,2153
42,96.0,1015,1015
43,96.0,1015,1016
44,96.0,1015,3159
45,72.0,1016,1017
46,72.0,1016,2132
47,72.0,1016,3825
48,72.0,1016,5197
49,67.0,1017,1018
50,67.0,1017,1031
51,85.0,1018,1019
52,85.0,1018,1833
53,85.0,1018,4217
54,85.0,1018,4902
55,105.0,1019,1020
56,105.0,1019,1503
57,105.0,1019,1632
58,105.0,1019,6157
59,114.3,1020,1021
60,114.3,1020,1419
61,114.3,1020,2036
62,114.3,1020,3774
63,110.0,1021,1022
64,110.0,1021,1127
65,110.0,1021,3864
66,110.0,1021,4952
67,110.0,1021,5778
68,37.33,1022,1023
69,37.33,1022,1701
70,82.0,1023,1024
71,82.0,1023,1368
72,82.0,1023,1662
73,177.5,1024,1025
74,177.5,1024,5529
75,177.5,1024,5989
76,87.5,1025,1026
77,87.5,1025,1466
78,82.44,1026,1027
79,82.44,1026,1677
80,69.5,1027,1028
81,69.5,1027,5022
82,69.5,1027,6100
83,69.5,1027,6438
84,85.5,1028,1029
85,85.5,1028,1340
86,81.0,1029,1030
87,81.0,1029,1404
88,81.0,1029,3222
89,81.0,1029,4900
90,63.75,1030,1032
91,63.75,1030,2757
92,63.75,1030,6583
93,121.8,1031,1033
94,121.8,1031,1036
95,121.8,1031,5523
96,93.6,1032,1034
97,93.6,1032,1954
98,93.6,1032,3269
99,102.0,1033,1035
100,102.0,1033,1991
101,102.0,1033,2260
102,102.0,1033,2677
103,102.0,1033,3675
104,98.1,1034,1037
105,98.1,1034,1532
106,98.1,1034,2057
107,98.1,1034,2333
108,75.0,1035,1039
109,75.0,1035,1196
110,75.0,1035,2392
111,75.0,1035,4113
112,75.0,1035,6377
113,73.0,1036,1040
114,73.0,1036,3539
115,104.0,1037,1041
116,104.0,1037,1549
117,104.0,1037,2178
118,104.0,1037,4096
119,79.2,1038,1042
120,79.2,1038,1584
121,79.2,1038,1813
122,125.8,1039,1043
123,125.8,1039,3027
124,125.8,1039,3863
125,87.95,1040,1044
126,106.0,1041,1045
127,106.0,1041,1329
128,106.0,1041,1679
129,136.67,1042,1046
130,136.67,1042,4776
131,89.0,1043,1047
132,89.0,1043,1277
133,136.0,1044,1048
134,136.0,1044,1639
135,136.0,1044,3075
136,120.6,1045,1049
137,120.6,1045,4822
138,120.6,1045,5904
139,99.3,1046,1050
140,99.3,1046,2291
141,99.3,1046,6113
142,99.3,1046,6169
143,258.0,1047,1051
144,258.0,1047,4646
145,120.12,1048,1052
146,120.12,1048,4214
147,120.12,1048,4839
148,95.0,1049,1053
149,95.0,1049,1071
150,95.0,1049,1358
151,95.0,1049,1530
152,95.0,1049,2250
153,95.0,1049,3578
154,0.0,1050,1054
155,0.0,1050,1211
156,0.0,1050,1652
157,0.0,1050,2106
158,0.0,1050,2354
159,0.0,1050,3919
160,0.0,1050,4075
161,0.0,1050,5139
162,0.0,1050,5332
163,0.0,1050,5371
164,157.5,1051,1055
165,157.5,1051,2700
166,157.5,1051,5349
167,97.7,1052,1056
168,97.7,1052,6423
169,142.0,1053,1057
170,142.0,1053,1235
171,142.0,1053,1692
172,142.0,1053,2721
173,142.0,1053,5541
174,80.0,1054,1058
175,80.0,1054,1261
176,80.0,1054,6321
177,122.85,1055,1059
178,122.85,1055,1971
179,116.8,1056,1060
180,116.8,1056,5210
181,121.5,1057,1061
182,121.5,1057,1108
183,121.5,1057,1433
184,121.5,1057,1740
185,121.5,1057,3914
186,121.5,1057,5414
187,111.9,1058,1062
188,121.55,1059,1063
189,121.55,1059,4314
190,159.3,1060,1064
191,159.3,1060,1082
192,159.3,1060,2785
193,159.3,1060,4679
194,132.3,1061,1065
195,132.3,1061,1714
196,132.3,1061,1757
197,98.82,1062,1066
198,98.82,1062,3142
199,98.3,1063,1067
200,150.0,1064,1068
201,150.0,1064,1129
202,150.0,1064,2672
203,150.0,1064,3642
204,96.05,1065,1069
205,130.0,1066,1070
206,130.0,1066,1145
207,130.0,1066,1220
208,130.0,1066,3243
209,130.0,1066,4017
210,113.56,1067,1072
211,113.56,1067,4560
212,101.58,1068,1073
213,101.58,1068,2821
214,105.3,1069,1074
215,105.3,1069,2016
216,105.3,1069,2522
217,105.3,1069,4147
218,105.3,1069,5942
219,115.8,1070,1075
220,149.4,1071,1076
221,149.4,1071,2298
222,149.4,1071,3205
223,111.59,1072,1077
224,130.5,1073,1078
225,130.5,1073,1722
226,130.5,1073,1776
227,130.5,1073,4518
228,130.5,1073,6038
229,130.5,1073,6376
230,90.95,1074,1079
231,90.95,1074,2233
232,90.95,1074,6033
233,76.08,1075,1080
234,76.08,1075,1697
235,76.08,1075,2649
236,156.9,1076,1081
237,74.8,1077,1083
238,74.8,1077,1175
239,74.8,1077,5514
240,107.0,1078,1084
241,107.0,1078,1563
242,107.0,1078,2615
243,107.0,1078,4411
244,107.0,1078,5045
245,64.0,1079,1085
246,64.0,1079,1839
247,64.0,1079,2865
248,82.95,1080,1086
249,155.0,1081,1087
250,155.0,1081,2981
251,155.0,1081,3758
252,155.0,1081,3900
253,101.68,1082,1088
254,117.9,1083,1089
255,117.9,1083,6566
256,127.0,1084,1090
257,127.0,1084,1168
258,127.0,1084,1568
259,127.0,1084,1799
260,127.0,1084,6315
261,116.1,1085,1091
262,116.1,1085,1274
263,184.24,1086,1092
264,155.7,1087,1093
265,135.76,1088,1094
266,102.83,1089,1095
267,103.0,1090,1096
268,103.0,1090,1240
269,106.2,1091,1097
270,106.2,1091,4143
271,106.2,1091,4175
272,106.2,1091,5083
273,58.5,1092,1098
274,73.95,1093,1099
275,73.95,1093,2854
276,133.2,1094,1100
277,133.2,1094,2738
278,133.2,1094,3968
279,133.2,1094,5645
280,112.0,1095,1101
281,112.0,1095,1332
282,112.0,1095,1915
283,112.0,1095,3450
284,190.8,1096,1102
285,190.8,1096,3881
286,190.8,1096,3907
287,91.48,1097,1103
288,91.48,1097,2727
289,91.48,1097,6235
290,135.0,1098,1104
291,135.0,1098,1454
292,135.0,1098,1924
293,135.0,1098,2828
294,135.0,1098,3016
295,129.0,1099,1105
296,129.0,1099,1343
297,129.0,1099,2505
298,129.0,1099,4812
299,70.55,1100,1106
300,72.25,1101,1107
301,72.25,1101,1138
302,72.25,1101,5289
303,109.65,1102,1109
304,109.65,1102,1412
305,109.65,1102,5437
306,109.65,1102,5858
307,142.72,1103,1110
308,111.0,1104,1111
309,111.0,1104,1748
310,111.0,1104,2075
311,111.0,1104,3794
312,111.0,1104,5382
313,86.7,1105,1112
314,58.9,1106,1113
315,120.0,1107,1114
316,120.0,1107,1231
317,120.0,1107,2780
318,120.0,1107,2988
319,120.0,1107,4384
320,120.0,1107,6059
321,107.1,1108,1115
322,107.1,1108,1517
323,107.1,1108,1907
324,107.1,1108,3100
325,126.9,1109,1116
326,126.9,1109,2123
327,126.9,1109,4064
328,126.9,1109,4565
